Time,DestinationLat,DestinationLong
82783.108006,45.674336,9.666184
56770.935653,45.677683,9.672355
122413.562088,45.691518,9.676253
118573.122408,45.691518,9.676253
119467.266518,45.691518,9.676253
120004.660463,45.691518,9.676253
145442.971266,45.694356,9.669417
146621.848444,45.694356,9.669417
116457.300117,45.691518,9.676253
115493.620505,45.691518,9.676253
120195.265179,45.691518,9.676253
116462.584337,45.691518,9.676253
147093.533805,45.694356,9.669417
152287.621131,45.694356,9.669417
117764.178373,45.691518,9.676253
122972.331160,45.686529,9.682698
147975.571212,45.694356,9.669417
148151.001657,45.694356,9.669417
199083.435365,45.684364,9.639519
115604.594020,45.691518,9.676253
91607.725406,45.687403,9.678592
146632.278464,45.694356,9.669417
150934.347445,45.694356,9.669417
116666.219513,45.691518,9.676253
200874.825142,45.684364,9.639519
117482.932593,45.691518,9.676253
147238.905701,45.694356,9.669417
119771.667099,45.691518,9.676253
121586.988893,45.691518,9.676253
200317.239778,45.684364,9.639519
149807.494802,45.694356,9.669417
117213.684434,45.691518,9.676253
117712.268573,45.691518,9.676253
200131.041648,45.684364,9.639519
120243.606619,45.691518,9.676253
152191.683475,45.694356,9.669417
145679.507976,45.694356,9.669417
171156.966863,45.700784,9.689021
199608.383609,45.684364,9.639519
116019.154433,45.691518,9.676253
122482.439898,45.691518,9.676253
225508.120174,45.713372,9.686612
145425.138836,45.694356,9.669417
163960.931851,45.695726,9.652612
116174.716326,45.691518,9.676253
116419.310356,45.691518,9.676253
146822.219756,45.694356,9.669417
115186.352447,45.676586,9.646412
197670.692015,45.684364,9.639519
118040.197791,45.691518,9.676253
198361.496355,45.684364,9.639519
181993.271529,45.697509,9.662677
163562.054164,45.687507,9.648960
123740.598208,45.691518,9.676253
123876.772667,45.691518,9.676253
150790.721880,45.694356,9.669417
149305.915533,45.694356,9.669417
201034.280018,45.684364,9.639519
118099.836460,45.691518,9.676253
150333.487034,45.694356,9.669417
172833.512122,45.697424,9.660310
195402.453332,45.684364,9.639519
200878.129474,45.684364,9.639519
148183.724596,45.694356,9.669417
199673.103458,45.684364,9.639519
120660.017083,45.691518,9.676253
199842.621307,45.684364,9.639519
199740.067472,45.684364,9.639519
266129.531461,45.709309,9.680858
269654.135459,45.705334,9.671703
141136.051888,45.690586,9.659252
263814.303011,45.709309,9.680858
148258.969654,45.694356,9.669417
175830.730543,45.684070,9.641103
149740.181346,45.694356,9.669417
146745.990960,45.694356,9.669417
269992.939039,45.709309,9.680858
196385.287485,45.684364,9.639519
197403.793953,45.684364,9.639519
266260.327141,45.709309,9.680858
159264.795467,45.694114,9.653007
267742.406827,45.709309,9.680858
266234.865796,45.709309,9.680858
268026.472460,45.709309,9.680858
197577.179702,45.684364,9.639519
270534.339450,45.709309,9.680858
167791.461039,45.694251,9.650069
199670.813133,45.684364,9.639519
266221.465185,45.709309,9.680858
269358.772669,45.709309,9.680858
199822.863170,45.684364,9.639519
198526.126317,45.684364,9.639519
267307.018806,45.709309,9.680858
196543.994204,45.684364,9.639519
266096.468702,45.709309,9.680858
266373.667970,45.709309,9.680858
265337.027027,45.709309,9.680858
265979.684384,45.709309,9.680858
198366.753530,45.684364,9.639519
263750.220103,45.707624,9.675937
266060.981512,45.709309,9.680858
200879.968603,45.684364,9.639519
203836.361803,45.684364,9.639519
257282.894414,45.705816,9.680714
201032.806890,45.684364,9.639519
275246.144274,45.709309,9.680858
265717.511366,45.709309,9.680858
265913.234523,45.709309,9.680858
380929.751316,45.703495,9.664042
384560.122183,45.703495,9.664042
386356.429993,45.703495,9.664042
382698.861303,45.703495,9.664042
269092.751813,45.709309,9.680858
270018.956536,45.709309,9.680858
269094.396452,45.709309,9.680858
266960.278235,45.709309,9.680858
268173.211222,45.709309,9.680858
272661.273572,45.709309,9.680858
382937.501360,45.703495,9.664042
384619.425726,45.703495,9.664042
273849.415612,45.709309,9.680858
270869.047137,45.709309,9.680858
271219.689300,45.709309,9.680858
380933.019704,45.703495,9.664042
270875.156369,45.709309,9.680858
382975.533393,45.703495,9.664042
382257.080278,45.703495,9.664042
387229.116985,45.703495,9.664042
380249.299551,45.703495,9.664042
382658.906625,45.703495,9.664042
388322.482823,45.703495,9.664042
322868.870670,45.710769,9.667492
380838.896835,45.703495,9.664042
385034.886967,45.703495,9.664042
382174.158865,45.703495,9.664042
383147.435036,45.703495,9.664042
381517.450418,45.703495,9.664042
381600.118443,45.703495,9.664042
393480.528239,45.703495,9.664042
364996.487418,45.703968,9.643080
381712.649935,45.703495,9.664042
383157.287841,45.703495,9.664042
382298.890757,45.703495,9.664042
381593.187225,45.703495,9.664042
380913.369913,45.703495,9.664042
389286.341194,45.703495,9.664042
378770.588498,45.703495,9.664042
387210.546438,45.703495,9.664042
383949.585721,45.703495,9.664042
388625.488113,45.703495,9.664042
385747.505079,45.703495,9.664042
